Ne,h2,N,rep,R2_random,R2_full
Ne20,0.1,10000,67,0.6444010984394668,0.720821226990793
Ne20,0.1,10000,69,0.7629700972697995,0.8070243685092217
Ne20,0.1,10000,70,0.684515299692195,0.7203461479141346
Ne20,0.1,10000,75,0.6945317444905478,0.7582612564590879
Ne20,0.1,10000,71,0.7115585525554936,0.7690278870297577
Ne20,0.1,10000,74,0.6825684362397175,0.728497002790694
Ne20,0.1,10000,77,0.7012933471456093,0.742924187872184
Ne20,0.1,10000,76,0.645343950022817,0.695426628469086
Ne20,0.1,10000,78,0.629573398099152,0.7015363265798887
Ne20,0.1,10000,79,0.6378568082341339,0.6904051780150318
Ne20,0.1,10000,80,0.7182041813925204,0.7703684630364586
Ne20,0.1,10000,81,0.7013532361964946,0.7690414144550883
Ne20,0.1,10000,82,0.7188244173115201,0.7632823604992963
Ne20,0.1,10000,83,0.7316296607834882,0.7786932778894209
Ne20,0.1,10000,84,0.6845309753974151,0.7534376569107356
Ne20,0.1,10000,88,0.6991860432747501,0.7474683569882575
Ne20,0.1,10000,90,0.7370096027552938,0.7894779588668563
Ne20,0.1,10000,85,0.7360122169918354,0.7854101835357253
Ne20,0.1,10000,86,0.6855077827973524,0.7324331035647874
Ne20,0.1,10000,87,0.7933954563972495,0.8234323793206786
Ne20,0.1,10000,89,0.6389717640115055,0.6848921336395039
Ne20,0.1,10000,92,0.7071124874858977,0.7735631447894804
Ne20,0.1,10000,91,0.6907131072785779,0.7607054660089042
Ne20,0.1,10000,93,0.7364690647889482,0.7844812360200996
Ne20,0.1,10000,96,0.6695477908302934,0.7291176465870784
Ne20,0.1,10000,95,0.7492304628557953,0.8001741573314347
Ne20,0.1,10000,97,0.7139444471844251,0.7619359229475211
Ne20,0.1,10000,98,0.7268042519548565,0.7573643950548477
Ne20,0.1,10000,94,0.7586887381889351,0.7731881321905562
Ne20,0.1,10000,100,0.6275540326212182,0.7273038557311299
Ne20,0.1,10000,99,0.665861463201147,0.7391014897182867
Ne20,0.1,20000,3,0.7697674883019875,0.8206882116593028
Ne20,0.1,20000,4,0.7465427280638798,0.7997538776082843
Ne20,0.1,20000,1,0.7496590052524597,0.8016602220555534
Ne20,0.1,20000,2,0.7858703675070158,0.8333776971214918
Ne20,0.1,20000,5,0.7713421428987927,0.8304455033441241
Ne20,0.1,20000,6,0.7931015071158188,0.8344177412221577
Ne20,0.1,20000,8,0.8409199875483081,0.8689982234856786
Ne20,0.1,20000,7,0.7841194714368036,0.8364760326075108
Ne20,0.1,20000,9,0.8058834128151887,0.8455420982599008
Ne20,0.1,20000,11,0.7363933786358998,0.7923457492145303
Ne20,0.1,20000,10,0.7739999519266454,0.819598393728425
Ne20,0.1,20000,12,0.7866716424364681,0.845665986839634
Ne20,0.1,20000,14,0.8144410220914718,0.8600294407310344
Ne20,0.1,20000,13,0.7561842863780732,0.8165618095838838
