Ne,N,h2,beta2,replicate,empirical_ncp
100,10000,0.1,0.001,95,5.06163970279691
100,10000,0.1,0.001,96,5.69568324936458
100,10000,0.1,0.001,97,6.253771139770509
100,10000,0.1,0.001,98,3.7727118156535457
100,10000,0.1,0.001,99,8.324958359064576
100,10000,0.1,0.001,100,7.053212055280918
100,20000,0.1,0.001,1,16.146410991650193
100,20000,0.1,0.001,2,12.704492041248134
100,20000,0.1,0.001,3,7.4020921713796515
100,20000,0.1,0.001,4,8.731149110683196
100,20000,0.1,0.001,5,10.713576269079294
100,20000,0.1,0.001,6,14.838470508499189
100,20000,0.1,0.001,7,12.972250576236792
100,20000,0.1,0.001,8,10.304552081175112
100,20000,0.1,0.001,9,17.460261272012676
100,20000,0.1,0.001,10,10.1657881915522
100,20000,0.1,0.001,11,5.681652927459399
100,20000,0.1,0.001,12,8.584619825977349
100,20000,0.1,0.001,13,11.631706837175704
100,20000,0.1,0.001,14,11.470229613203783
100,20000,0.1,0.001,15,14.075660681393142
100,20000,0.1,0.001,16,7.1834931937677275
100,20000,0.1,0.001,17,13.936572410839995
100,20000,0.1,0.001,18,11.369443484394209
100,20000,0.1,0.001,19,12.162547971297926
100,20000,0.1,0.001,20,9.101593565924961
100,20000,0.1,0.001,21,14.067175864960452
100,20000,0.1,0.001,22,13.570674164462343
100,20000,0.1,0.001,23,10.050544382346295
100,20000,0.1,0.001,24,8.910459212318287
100,20000,0.1,0.001,25,5.636824250602599
100,20000,0.1,0.001,26,7.595585788273862
100,20000,0.1,0.001,27,12.473905087424303
100,20000,0.1,0.001,28,9.967179130368713
100,20000,0.1,0.001,29,9.535711611726125
100,20000,0.1,0.001,30,12.293400557428157
100,20000,0.1,0.001,31,10.03067580911156
100,20000,0.1,0.001,32,6.751748504003848
100,20000,0.1,0.001,33,10.197681581801216
100,20000,0.1,0.001,34,13.76000518918229
100,20000,0.1,0.001,35,15.335269913038204
100,20000,0.1,0.001,36,6.711930920145585
100,20000,0.1,0.001,37,12.999612214502463
100,20000,0.1,0.001,38,13.897399322304626
100,20000,0.1,0.001,39,8.347186245932477
100,20000,0.1,0.001,40,16.179907509560326
100,20000,0.1,0.001,41,5.752418974909693
100,20000,0.1,0.001,42,9.18261111234738
100,20000,0.1,0.001,43,9.526449595256194
100,20000,0.1,0.001,44,10.0303061575166
100,20000,0.1,0.001,45,8.915018314701479
100,20000,0.1,0.001,46,7.173089972804519
100,20000,0.1,0.001,47,11.914821065195264
100,20000,0.1,0.001,48,10.373827824406984
100,20000,0.1,0.001,49,13.898725640202349
100,20000,0.1,0.001,50,8.194739183420035
100,20000,0.1,0.001,51,7.865689562282753
100,20000,0.1,0.001,52,14.501490708331525
100,20000,0.1,0.001,53,7.790753400981085
100,20000,0.1,0.001,54,8.480880395380186
100,20000,0.1,0.001,55,10.277688468992645
100,20000,0.1,0.001,56,19.104075178427923
100,20000,0.1,0.001,57,13.913377021520777
100,20000,0.1,0.001,58,6.869468715519742
100,20000,0.1,0.001,59,5.869707959963014
100,20000,0.1,0.001,60,15.375559519246714
100,20000,0.1,0.001,61,9.321569658689189
100,20000,0.1,0.001,62,12.052845980727588
100,20000,0.1,0.001,63,7.991541613701322
100,20000,0.1,0.001,64,12.968627289402736
100,20000,0.1,0.001,65,8.733443004932088
